class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,632,na,62,na,0,0,0,0,0,12286,43666,26706,934,0,0,0,23936,0,0,0,12448,19580,86464,83990,44236,4412,0,0,0,0,0,0,0,0,0,0,0,0,2756,75528,5308,0,1400,100,126,88,5254,76624,0,0,0,0,53766,11958,5886,5352,2388,1566,948,1122,478,128,143320,22,40,20,0,23936,888,28708,15220,na,na,na,na,na,na,na,na,43200,632.16,143320,143320,142344,261,17220,13538,141920,83592,1209600,0,na,na,na,34186.56,28064.64,20143.68,0,60,0,5894,36066,36260,4308,778,286,0,0,0,na,18,143320,na,1530,84,232,1606,1632,13724,59036,5714,34,0,na,na,na,na,na,na,na,na,na,208,56,0,0,580,43170,0,0,0,0,1270,74,16,0,0,846,146,55860,16016,132102,358,0,0,0,329.24,308,50188,9500,2602,778,1742,2372,3190,12804,416,0,0,0
neg,198,0,24,16,0,0,0,0,6234,6860,17774,17114,1756,0,0,0,12844,0,0,0,12822,21438,28978,32700,26874,3314,0,0,0,0,66,46,0,0,0,0,0,0,0,44668,5070,0,1380,112,72,128,220,4962,16428,26400,36,0,40332,3466,3138,1000,674,666,240,206,14,2,68746,12,14,64,0,12844,472,11886,14902,na,na,na,na,na,na,na,na,26460,198.74,68746,68746,68792,132,0,6564,68260,49822,1209600,856,0,14,0,14070.72,0,34575.36,4,32,3490,6504,16272,15428,4802,3076,166,0,0,0,24,46,68746,0,1304,42,102,1388,10968,13792,20910,1214,18,0,34,78,14530,4392,0,0,0,0,16500,128,134,0,0,0,0,0,0,0,0,696,20,2,0,0,268,68,280,28,0,0,0,0,0,157.56,100,36500,5454,490,292,862,830,818,4492,0,0,0,0
neg,45074,na,2130706432,710,0,0,0,0,0,0,564,662262,1696866,293396,4724,0,1189826,0,0,0,0,0,2413124,2153818,327136,234400,0,0,0,0,594,684,0,0,0,0,0,204,465086,879486,1313036,0,1274,916,760,1102,67200,2586286,274,0,0,0,759818,774334,383506,253592,189234,202840,94488,0,0,0,2740470,22,82,108,2,1189826,37222,192720,134008,140060,146980,na,na,na,na,na,na,37260,45073.68,2740470,2740470,2743016,15418,36722,30306,317900,2657812,1209600,83318,2,46,0,2399865.6,0,256692.48,0,234,0,0,0,58864,1116284,1193588,273052,12800,3002,222,86,100,2740470,na,2324,264,114328,146074,107394,1545956,733406,7904,162,0,980,1504,1819224,5968,0,1574,0,28,2419960,1190,264,0,0,0,0,0,0,0,0,16860,25218,14658,0,0,92796,20786,11801700,1366574,0,0,0,0,5073680,662.82,676,273344,372120,318230,176784,354528,282684,283438,514678,81710,296,0,0
neg,198616,na,na,na,na,na,0,0,0,0,21554,1283710,9231552,2060276,26134,0,5002652,0,0,na,0,0,11111036,10347264,1805836,710512,na,0,0,0,na,na,0,0,0,0,0,299856,2218946,6394590,3709834,0,9600,11200,14850,208660,9546620,2832290,6,0,0,0,4103294,2752208,1604170,1349850,1164538,888570,599970,160592,34,0,12918474,na,na,na,na,5002652,125950,872704,911902,155580,148220,193480,146280,164840,163460,167700,147340,102320,198615.61,12918474,12918474,na,77226,na,na,791820,na,1209600,na,na,na,na,11273935.68,0,1345323.84,na,na,0,0,3690,240050,5350644,6383888,575226,54538,14804,386,na,na,12918474,na,7920,1748,721182,447496,1907504,9122678,404332,10356,10,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54774,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1397978,2031990,1607620,969392,2610126,2073794,1139844,466376,320586,5520,na,na
neg,27624,na,0,na,0,0,0,0,0,0,10258,682044,932378,109310,270,0,901576,24452,230,0,152,218,1377956,1080328,405278,270850,0,0,0,0,0,0,0,0,0,0,0,18096,1003096,262350,450718,0,958,410,432,1286,137546,1588840,4780,8,0,0,765046,359466,215510,131886,84818,74170,94168,9196,0,0,1783602,0,26,6,274,901576,39834,144188,258966,329420,na,na,na,na,na,na,na,72300,27624.32,1783602,1783602,1761426,8613,550440,54932,571040,1734260,1209600,0,na,na,na,1497873.6,0,233676.48,na,na,0,0,960,175698,1010606,503682,36190,5518,1568,38,na,0,1783602,na,1240,274,36826,155000,73192,646346,812614,8764,4,0,na,na,na,na,na,na,na,na,na,1136,82,0,0,0,0,0,0,0,0,27622,31590,6408,0,0,65140,10356,2041540,805450,0,0,0,0,26589720,na,na,248494,243884,210742,127422,245694,187870,172310,124198,171588,2058,0,0
pos,361638,0,280,na,0,0,0,0,0,0,193768,1213998,611458,165512,39040,3452,14390070,1762456,122,0,640976,1300110,24676606,21110074,7930028,3690164,0,0,0,0,684,102,0,0,0,0,0,0,1666,1180176,1045386,0,1964,1154,1534,2378,6918,848604,1364674,2,0,0,1268010,298410,140476,85390,60496,47206,38348,39046,27744,222102,33250190,160,216,94,88,14390070,583524,2354852,5560794,264040,232480,220080,199000,227540,270520,232760,232200,104400,361637.81,33250190,33250190,2329782,10227,30300,15828,555820,2228198,1209600,0,na,na,na,21693175.68,1061023.68,9257094.72,32,252,0,0,4976,326792,882200,507828,258188,180400,54716,12128,na,0,33250190,0,2380,292,407708,398100,129078,829012,453812,6840,6,0,na,na,na,na,na,na,na,na,na,2592,146,0,0,11830,116338,0,0,0,0,352498,12146,3022,4536022,708268,76250,9704,2819000,450506,2326980,1932,0,0,0,655.5,718,751594,396816,266410,114746,180006,108294,111218,264410,33734,0,0,0
neg,600,4,106,80,0,0,0,0,0,0,3572,70906,34050,0,0,0,34982,0,0,0,138,206,120128,106770,59410,5850,0,0,0,0,38,54,0,0,0,0,0,0,0,18350,90178,0,362,72,150,680,674,68876,37714,0,0,0,87072,13520,4118,1064,654,464,302,950,188,196,179756,14,10,32,0,34982,1222,46166,13166,na,na,na,na,na,na,na,na,58640,599.09,179756,179756,178170,256,20722,17472,178860,108866,1209600,3146,2,26,0,43011.84,0,64532.16,2,60,0,0,1540,25158,54596,22810,2686,1628,110,0,0,46,179756,0,1574,80,1490,24534,14400,26810,37016,2612,12,0,90,74,42548,12484,0,54,0,0,47510,438,174,0,0,0,0,0,0,0,0,920,12,6,33798,4040,1432,412,94320,55664,176346,204,0,0,0,2.96,724,67198,17296,5304,1352,2058,1070,1170,13022,58,0,0,0
neg,97000,0,378,160,0,0,0,0,0,84938,2172716,4818644,3113846,523016,14590,0,4706546,0,0,0,34126,50964,9612370,8765116,1432862,695194,0,0,0,0,380,530,0,0,0,0,0,0,1398452,9185576,143722,0,14274,1568,2404,2976,19180,8465634,2192568,28644,502,0,6770220,1773144,948234,392148,245140,193264,153696,108774,66214,76916,11080752,812,118,8234,0,4706546,115040,401350,1029202,178560,140640,143720,152740,156080,170420,143560,138300,28060,97000.63,11080752,11080752,11350370,33123,114,3616,177560,10733254,1209600,403228,0,430,0,6374864.64,2717504.64,1631131.2,680,1458,0,2624,437316,1563610,3884236,3119898,1174734,433042,107926,4364,2496,2888,11080752,0,16580,2344,3598252,897714,685356,4466168,986700,74082,554,0,242,598,6320368,833382,0,3164,0,0,6503272,15580,2636,0,0,5660,3173544,0,0,0,0,37806,17372,2590,7053478,2661512,297314,98366,15240,2444,2533098,13908,0,0,7000670,5992.06,5548,4499218,2027904,1078982,313334,511330,552328,871528,871104,1980,42,0,0
neg,142,2,2130706432,10,0,0,0,0,0,0,44,19726,5740,0,0,0,11950,0,0,0,0,0,26374,20480,14386,1632,0,0,0,0,16,16,0,0,0,0,0,0,0,21444,4066,0,282,6,18,836,246,518,23604,0,0,0,19326,2824,1058,676,460,202,258,524,164,18,40794,4,2,30,0,11950,584,9382,4966,na,na,na,na,na,na,na,na,13940,142.16,40794,40794,40160,64,0,3788,40240,25652,1209600,1186,2,8,0,13218.24,0,10385.28,0,58,0,0,0,9362,15086,488,574,0,0,0,0,6,40794,0,1380,60,46,402,716,6490,13974,2440,2,0,12,30,15218,2064,0,86,0,0,15500,120,228,0,0,0,0,0,0,0,0,478,36,18,8080,990,312,162,38420,3856,32704,38,0,0,0,2.2,148,13178,7086,1238,360,426,378,328,2452,64,0,0,0
neg,1640,0,0,na,0,0,0,0,0,0,4728,77994,9784,0,0,0,56078,0,62,0,262,490,111886,105698,11494,3508,0,0,0,0,0,0,0,0,0,0,0,0,0,67394,25112,0,1284,14,48,30,30,88226,2874,0,0,0,27420,15434,24426,16504,4506,1764,1546,780,126,0,123686,54,112,56,0,56078,770,5778,5620,na,na,na,na,na,na,na,na,11080,1640.81,123686,123686,124660,557,52,12184,123240,92622,1209600,0,na,na,na,76513.92,2704.32,12252.48,0,34,0,0,1322,8188,19562,25308,37326,782,14,4,na,0,123686,0,1242,32,3552,3738,3414,6978,72354,1180,16,0,na,na,na,na,na,na,na,na,na,164,44,0,0,0,0,0,0,1600,3112,502,218,26,0,0,600,92,35180,3594,0,0,0,0,640850,183.74,112,16474,7672,1442,768,2654,12680,30398,20414,4,0,0,0
neg,39908,na,2130706432,152,0,0,0,0,0,0,126,55380,2071436,419710,8522,0,1092928,5596,0,0,0,0,2262856,1972178,447754,242916,0,0,0,0,744,262,0,0,0,0,0,17438,779754,1750394,7588,0,1456,770,936,1120,46898,2503750,244,0,0,0,847140,919028,305696,179446,113092,69976,66958,53838,0,0,2710898,198,148,528,12,1092928,29068,196876,247090,235300,154560,na,na,na,na,na,na,53240,39907.79,2710898,2710898,2705382,12329,0,26046,286960,2555174,1209600,66528,2,90,0,2193918.72,0,358994.88,0,772,0,0,0,998,1452902,981476,110518,8116,1154,10,0,8,2710898,na,2988,374,177536,151804,191372,1744726,281936,4396,42,0,340,964,2216200,109386,308,914,0,0,2216384,2048,156,0,0,0,0,0,0,0,0,17706,32864,10614,0,0,69546,11720,8990180,899044,0,0,0,0,0,887.78,848,375958,400218,292552,158164,334966,315584,304340,197356,174202,1834,0,0
neg,40432,na,2130706436,770,0,0,0,0,0,0,10034,914510,2616358,590860,72074,0,2034632,0,0,0,0,0,3756272,3104658,787514,514404,0,0,0,0,1756,380,0,0,0,0,0,0,3639076,349020,215740,0,3564,1152,1498,1502,16314,3998640,181164,2,0,0,2116494,667736,334116,260670,247596,267694,307306,2224,0,0,4545146,0,340,100,50,2034632,66618,260206,524572,202800,183480,223720,na,na,na,na,na,164460,40431.25,4545146,4545146,4329746,16047,50048,80270,901820,4203836,1209600,209120,4,138,0,3199823.04,27189.12,1106272.32,0,344,0,0,0,70046,957964,1930920,1126248,106208,12070,380,6,12,4545146,na,9016,1236,23440,885910,305058,2016808,948456,13906,6,0,1306,668,2566460,36824,0,432,398,50,3249110,8100,1546,0,0,290,27650,0,0,0,0,43188,24054,10540,0,0,136146,31870,11867840,1996282,0,0,0,0,1511780,2320.42,2958,1167150,1403744,751108,200988,237316,123346,93362,66912,155138,4772,0,0
neg,31002,na,794,718,0,0,0,0,0,0,88478,1018564,936770,134326,25522,3122,1039410,0,0,0,798,1740,1832726,1422510,461658,373542,0,0,0,0,1908,406,0,0,0,0,0,103646,1396660,250808,455668,0,1980,782,952,60920,1414438,720580,7130,0,0,0,694866,443670,148916,112466,83972,75688,123260,521374,2570,0,2295462,1832,130,986,12,1039410,36064,208342,250986,227280,na,na,na,na,na,na,na,230400,31002.07,2295462,2295462,2294462,19116,10322,105724,1081400,2206782,1209600,81128,0,80,0,1839531.84,35804.16,329581.44,0,0,0,0,346,274766,795556,909682,210030,12790,3124,488,20,30,2295462,na,2962,450,28844,224796,80922,946598,896554,25320,336,0,1246,1388,1774204,492630,0,13224,0,40,1856316,1736,246,0,0,160,36618,0,0,0,0,21988,29454,5694,0,0,50206,10094,56500,32182,0,0,0,0,30002100,1036.6,872,382656,465662,287326,125744,255444,178906,176098,287254,47644,48,0,0
neg,127534,na,4234,1058,0,0,0,0,0,170586,3252154,2833326,771270,48212,5544,0,3516612,0,0,0,96208,149596,6157540,5562082,1254896,573930,0,0,0,0,2356,1712,0,0,0,0,0,0,16138,2334658,4730296,0,4264,952,1998,3118,445486,6625264,10,0,0,0,1322864,3088992,1372246,503586,255334,164686,128786,109908,70138,64552,7509720,3788,4282,178,164,3516612,105024,631650,620768,198800,183180,180280,173760,207760,265620,1310700,1310700,34540,127534.63,7509720,7509720,7512580,41582,174,17058,241060,7081092,1209600,195492,200,3954,0,6326492.16,70.08,746831.04,na,na,0,41424,1050046,3654994,1695490,553540,75130,9292,1150,26,244,252,7509720,na,6318,1012,519468,350660,3356610,2844962,2062,0,0,0,2858,3474,6196960,2798338,666,258,0,0,6276746,5080,352,0,0,20,72,0,0,0,0,50098,33992,10112,14403664,1664054,193398,41662,15860,2756,7371034,105908,0,0,126534620,na,na,795936,910554,562384,236490,448696,341760,386290,3308338,90644,0,0,0
neg,1776,0,20,18,0,0,0,1430,32876,63410,30832,4210,1140,0,0,0,18726,0,0,0,65214,86752,46844,94752,100738,4794,0,0,0,0,96,154,0,0,0,0,0,0,0,31808,102090,0,300,28,64,500,548,1070,33248,66188,31952,0,60802,49174,15384,5010,1884,1040,376,188,16,24,212896,6,14,26,2,18726,822,74794,25514,na,na,na,na,na,na,na,na,100100,1775.95,212896,212896,212350,521,0,20874,212280,134006,1209600,2402,2,34,0,93717.12,0,39152.64,2,44,23486,29480,19374,10346,20778,30234,194,6,0,0,0,4,212896,0,1266,38,918,9590,8722,43742,67148,2436,38,0,30,274,96134,8180,0,0,0,0,96134,218,160,0,0,0,0,0,0,0,0,1842,120,34,0,0,1602,380,446380,44646,0,0,0,0,775960,147.62,104,40858,11790,8930,7120,21726,16018,13010,14446,0,0,0,0
neg,38522,na,532,466,0,0,0,0,0,0,198,135146,1540714,549350,21922,64,1135382,0,198,0,0,0,2046462,1843324,437280,162866,0,0,10060,19670,370,130,0,0,0,0,0,275244,1055876,915096,1178,0,3406,1476,1710,3378,143696,2093682,46,0,0,0,800498,556570,233558,189010,151710,118302,97586,99994,166,0,2484102,94,102,108,4,1135382,29878,269188,166040,189160,234180,na,na,na,na,na,na,10200,38522.62,2484102,2484102,2486062,13426,2172,4018,60780,2247394,1209600,51834,0,60,0,1858618.56,0,386208,2,582,0,0,0,21294,929590,1065208,218462,10464,2296,80,72,124,2484102,na,3868,290,14214,262084,105376,892488,960778,8214,82,0,496,246,1845632,20774,0,248,0,0,1881510,1226,234,0,0,0,0,0,0,0,0,13786,18898,4652,0,0,56092,12512,26340,13452,0,0,0,0,0,879.98,750,402990,278996,172954,74406,157532,153302,202560,209430,548372,46852,0,0
neg,99344,na,332,310,0,0,0,0,0,2604,241164,3033140,3017774,332560,1158,0,2743336,0,0,0,1128,1660,5726828,4751272,1176552,873742,0,0,0,0,322,96,0,0,0,0,0,913842,3048130,1092118,1574310,0,3612,740,1982,196416,4833194,1588930,3526,0,0,0,2283878,1602560,720422,490844,408096,496012,626464,124,0,0,6905566,0,740,1004,4,2743336,92486,702124,469722,163860,201620,223440,225860,233820,na,na,na,115000,99344.64,6905566,6905566,6920340,39393,262802,78452,844660,6628400,1209600,242474,2,92,0,5989533.12,0,634153.92,0,0,0,0,29610,734468,3006514,2322872,496132,29954,7910,940,1314,1350,6905566,na,9564,1370,202338,331944,321876,4771382,965560,24308,58,0,614,194,4671546,230816,0,330838,0,4,6045918,4386,394,0,0,0,0,0,0,0,0,53452,86598,46852,0,0,189526,34572,25817480,4038986,0,0,0,0,1087000,2686.2,2768,679324,1206070,1183362,627250,1231810,1022832,504914,123056,49782,0,0,0
neg,8,0,0,0,0,0,0,0,0,0,6,1988,2056,0,0,0,586,0,92,0,0,0,10714,9150,6324,444,0,0,0,0,2,4,0,0,0,0,0,0,0,1576,2474,0,38,0,90,984,14,264,2660,0,0,0,2774,236,58,38,34,178,448,112,54,118,17064,0,6,0,0,586,106,4942,1364,na,na,na,na,na,na,na,na,6180,8.51,17064,17064,18724,22,0,1644,16920,4074,1209600,176,2,0,0,1115.52,0,1867.2,0,6,0,0,0,1770,790,1312,178,0,0,0,6,22,17064,0,1118,8,8,6,650,546,1256,438,20,0,0,2,1302,82,0,0,0,0,1338,22,48,0,0,0,0,0,0,0,0,152,0,0,0,0,50,14,2240,224,0,20,0,0,0,0.72,26,3036,788,22,8,88,102,6,0,0,0,0,0
neg,40028,na,304,208,0,0,0,0,0,620,509506,1792248,549608,26834,990,0,1391686,0,0,0,3696,7524,2495882,2118392,516790,307126,0,0,0,0,194,190,0,0,0,0,0,223428,2203250,117678,335450,0,2342,1076,1196,1398,9082,2860386,3374,0,0,952,893054,700682,239766,206160,213926,222514,217462,182374,3868,0,3017064,40,36,260,4,1391686,43680,258188,255824,202120,216680,na,na,na,na,na,na,91360,40027.1,3017064,3017064,3017832,18016,63316,54752,590120,2879806,1209600,94826,0,80,0,2581495.68,0,294966.72,0,956,0,0,39870,1034036,1374610,382628,37444,9198,1922,98,0,4,3017064,na,5950,742,66648,161990,150500,2060300,420134,13526,16,0,532,2044,1864334,51674,0,181028,0,0,2596206,2006,182,0,0,0,0,0,0,0,0,26228,41512,6940,0,0,105886,13070,2241620,408380,0,0,0,0,2522290,1241.56,1506,312988,720014,549632,246446,415406,320358,166628,82480,65840,14,0,0
neg,3226,2,18,14,0,0,0,0,674,5492,14166,146598,48118,138,0,0,99186,0,0,0,5638,11278,183802,160666,58910,12664,0,0,0,0,64,30,0,0,0,0,0,0,0,8294,206892,0,2600,1366,4400,9830,4238,179104,4656,8986,6,0,107844,55448,25230,10204,6224,3832,2810,1838,858,898,248538,14,6,22,2,99186,1968,18710,38176,na,na,na,na,na,na,na,na,56580,3226.75,248538,248538,241118,915,0,22108,246500,215568,1209600,3758,0,42,0,142764.48,0,58089.6,72,240,658,4548,13816,26906,94286,38560,21982,14382,48,0,20,56,248538,0,1890,138,2832,3718,12168,55302,133686,5322,130,0,26,40,143366,55392,0,262,0,0,147774,456,590,0,0,0,0,0,0,0,0,1936,718,154,0,0,3186,766,0,0,0,0,0,0,2226750,393.08,320,61854,32384,6822,2324,3966,3722,5328,8498,90196,92,0,0
neg,49408,0,236,214,0,0,0,0,0,32434,1959126,755828,72164,6442,0,0,1243414,0,0,0,98150,139420,2447146,2259030,716370,216930,0,0,0,0,146,1052,0,0,0,0,0,0,130980,2154108,540906,0,1774,696,1164,2136,4074,2793652,20708,1790,0,0,1177358,589822,306502,170740,138662,101192,74164,56422,29100,182032,3262134,348,12880,3500,2,1243414,31088,467086,246962,316620,218620,na,na,na,na,na,na,175880,49408.1,3262134,3262134,3232444,15471,44,80410,837240,2827320,1209600,73880,2,98,0,2478427.2,0,345755.52,8,354,0,0,128414,361728,977362,866110,279818,186572,25556,434,2,106,3262134,0,4208,526,116324,196264,81160,2073150,347612,6672,74,4,146,1746,2522044,1438394,0,478,0,0,2522698,2440,248,0,0,0,0,0,0,0,0,17782,8816,2930,3796348,485208,56086,12438,7291660,729722,3212628,17854,0,0,9408180,1130.52,1162,365310,303506,185668,106510,212702,180600,1397168,69612,4918,0,0,0
neg,41472,na,1182,914,0,0,0,0,0,0,3586,891946,2676656,795260,68790,556,1951836,0,0,0,0,0,3810578,3162838,934298,591706,0,0,0,0,1954,292,0,0,0,0,0,682760,3754034,0,0,0,1878,630,1240,445282,3089318,896328,2118,0,0,0,2162176,886006,298472,241470,253624,378842,216204,0,0,0,4745308,0,26,122,28,1951836,65060,469114,463606,205360,220240,309980,na,na,na,na,na,193680,41471.49,4745308,4745308,4753078,21473,194592,108032,1111240,4436794,na,150732,0,134,0,3442388.16,39640.32,951902.4,0,0,0,0,0,59806,948042,1768976,1466842,178906,12352,1870,6,10,4745308,na,4524,818,339848,670700,263970,2241670,895868,19276,120,0,1186,650,112438,31184,0,102254,0,496,3484726,4590,1228,0,0,1470,40384,0,0,0,0,32694,37310,6116,0,0,197604,26792,9086300,1678240,0,0,0,0,1773740,1294.46,1298,1036104,1710684,544408,245506,378132,218784,129036,82412,91618,110,0,0
neg,32804,na,0,na,0,0,0,0,0,0,410,136406,1632948,449530,976,0,1287832,0,0,0,0,0,1967236,1716166,814308,180408,0,0,0,0,0,0,0,0,0,0,0,252,422824,578470,1218724,0,12486,14904,20618,21814,965264,1185058,124,2,0,0,909016,368994,222580,157930,121200,109678,169284,146704,14674,210,2782184,288,954,372,894,1287832,34130,558506,252642,424660,283840,na,na,na,na,na,na,99640,32804.26,2782184,2782184,2743530,14179,55122,31454,356980,2220270,1209600,0,na,na,na,1959375.36,0,257431.68,na,na,0,0,0,24244,865840,1191288,125984,11130,1756,28,na,0,2782184,na,2960,404,64422,170942,147404,1726422,104042,3674,0,0,na,na,na,na,na,na,na,na,na,2446,172,0,0,0,0,0,0,0,0,15694,39096,7618,0,0,113496,19810,4145620,490256,0,0,0,0,3840900,na,na,277616,384566,264192,159396,552824,574350,6378,806,142,0,0,0
neg,1840,na,na,na,0,0,0,0,0,0,118,66358,42050,96,0,0,35064,0,0,na,0,0,99778,93622,31726,3980,0,0,0,0,0,0,0,0,0,0,0,9546,69940,2582,26554,0,1384,34,40,48,226,106888,2,0,0,0,55880,40250,9284,2356,158,62,126,506,0,0,131532,0,98,406,10,35064,884,24902,6656,0,0,0,0,0,0,0,0,31200,1839.15,131532,131532,na,346,1946,na,131240,na,1209600,0,na,na,na,na,na,na,na,na,0,0,0,32948,71520,3436,632,86,0,0,na,0,131532,na,1354,16,3728,1926,7142,86120,7922,414,0,0,na,na,na,na,na,na,na,na,na,72,30,na,na,na,na,na,na,na,na,474,428,108,0,0,2000,376,398040,50324,0,0,0,0,na,na,na,10332,8552,9734,8440,48900,21328,1088,180,68,0,0,0
neg,39830,na,90,86,0,0,0,0,0,0,204,70584,1505892,723092,37880,576,950324,0,0,0,0,0,2109698,1870498,341382,212270,0,0,0,0,258,132,0,0,0,0,0,0,958060,1092214,287954,0,1382,2308,2252,75648,1990850,265778,10,0,0,0,627630,679012,242292,189292,160978,144178,155210,139632,4,0,2451308,140,50,278,8,950324,22882,203610,134930,147000,189680,na,na,na,na,na,na,1840,39829.55,2451308,2451308,2450766,15411,196,1354,28920,2338228,1209600,63366,2,22,0,2068160.64,0,268921.92,0,0,0,0,0,13062,864258,1236362,215826,7166,1512,42,0,4,2451308,na,1992,258,53744,128198,120156,1846890,178146,8750,94,0,142,294,2000234,24094,0,22,0,14,2080410,1222,104,0,0,0,0,0,0,0,0,12628,30028,6918,0,0,71118,14728,348340,37312,0,0,0,0,0,561.3,574,278432,265180,220476,139942,359152,454228,347528,144510,128408,372,0,0
neg,41636,2,48,40,0,0,0,0,0,8796,644976,1588522,336484,40226,12894,0,1288918,0,28,0,21336,27468,2624538,2454414,1303598,136096,0,0,0,0,108,46,0,0,0,0,0,5678,43632,826790,1755798,0,33038,10442,13810,14452,27010,1581288,951858,0,0,0,1062166,365642,280228,217270,132704,109366,100660,115156,84092,164614,3949914,146,42,64,0,1288918,31520,1164234,138268,345180,315260,535780,na,na,na,na,na,102600,41636.44,3949914,3949914,3989514,15529,0,29278,316040,2633382,1209600,45336,0,70,0,2021729.28,155131.2,451821.12,662,1422,0,0,110140,466072,744172,463082,332370,300914,180598,34550,528,552,3949914,0,6266,550,84062,176666,97180,1536478,720380,10202,114,0,40,46,2023334,163446,0,2280,0,0,2035276,1580,284,0,0,340,1158,300,154368,0,0,14500,9480,2134,3975892,730634,90212,11598,40,4,2642454,68,0,0,1636440,1223.14,1204,620740,232864,137438,71778,160228,206674,467340,734218,618,0,0,0
neg,33748,na,2130706446,812,0,0,0,0,0,0,8762,571486,1170630,514376,41090,8948,1170328,0,0,0,0,0,2023718,1691278,399956,283448,0,0,37862,0,1912,398,0,0,0,0,0,48930,961348,753244,551770,0,1376,586,978,1642,35414,2274824,472,0,0,0,617010,597636,173130,123328,96340,86106,141738,410502,69402,100,2424176,82,1114,430,34,1170328,39258,179154,220076,218500,na,na,na,na,na,na,na,177000,33747.88,2424176,2424176,2419238,19757,6600,na,1209520,2315292,1209600,87224,4,46,0,2013238.08,0,300454.08,2,456,0,0,0,172678,837538,932718,344084,26110,1954,210,170,176,2424176,na,3250,390,48170,148778,89914,1088854,907630,28036,270,0,898,748,1984700,72548,0,91766,0,8,2054404,1674,286,0,0,0,0,0,0,0,0,25678,22856,12082,6179824,1063372,60942,12996,3953260,442414,28532,22224,42,48,4722910,823.74,968,318152,510952,334094,156554,300466,246200,150758,100030,187440,10646,2,164
neg,2078,na,6,6,0,0,0,0,0,0,100,962,65668,63132,664,0,53370,0,0,0,0,0,124492,112842,18920,8208,0,0,0,0,14,12,0,0,0,0,0,8336,99830,6972,15388,0,1002,38,82,96,48090,81196,22,0,0,0,60518,51904,11876,5018,558,304,308,40,0,0,143436,96,1294,212,0,53370,1336,10736,8148,na,na,na,na,na,na,na,na,18660,2077.91,143436,143436,146126,416,118,14128,143040,130526,1209600,3824,2,8,0,115747.2,0,13753.92,0,0,0,0,0,64,45916,48080,35588,684,194,0,4,8,143436,na,1152,34,1580,4976,3022,45438,72478,1830,16,0,6,76,115936,55134,0,26,0,8,116556,148,66,0,0,0,0,0,0,0,0,730,792,560,0,0,2230,614,568220,56870,14322,46,0,0,1027200,76.4,88,15952,19594,10182,5358,19762,57502,1788,212,148,28,0,0
neg,753794,na,622,na,0,0,0,0,0,492918,5194504,2149656,60364,0,0,0,21217150,0,0,0,1501906,2169440,36710604,33391276,36612194,3584052,0,0,0,0,2134,640,0,0,0,0,0,0,99632,2824144,4973666,0,15644,9814,14616,46942,5558574,2251852,0,0,0,0,1188530,2445796,1452782,1028048,520336,313846,218378,188066,158794,382866,74829212,26514,35814,69986,1136,21217150,654938,32246302,4349064,583740,583820,554780,563860,628060,597300,586360,620140,478940,753794.92,74829212,74829212,13792136,42358,499280,50700,982460,7897442,1209600,0,na,na,na,37259174.4,0,5723737.92,86,2542,0,68192,2627386,4299716,707748,140828,39468,12948,1156,0,na,158512,74829212,na,7018,2302,369060,457952,1095068,5686214,267964,11864,0,0,na,na,na,na,na,na,na,na,na,26000,436,0,0,0,0,0,0,0,0,356644,96268,30708,79673512,13921242,1838898,327374,47495200,7271164,71031684,149218,0,0,49054680,4027.36,3222,974576,748272,532270,255016,589316,570458,801104,3350050,76380,0,0,0
